test_id;sub_test_id;description;analyzer;name
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Hemogl. koncentrac. eritrocite (MCHC);Mindray BC-6000, Celltac NIHON KOHDEN;MCHC
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Eritrocitų pasiskirstymo plotis (RDW-CV);Mindray BC-6000, Celltac NIHON KOHDEN;RDW-CV
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Trombocitai (PLT);Mindray BC-6000, Celltac NIHON KOHDEN;PLT
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Trombocitų pasiskirstymo plotis (PDW);Mindray BC-6000, Celltac NIHON KOHDEN;PDW
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Vid.tromboc.tūris (MPV) ;Mindray BC-6000, Celltac NIHON KOHDEN;MPV
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Trombocitų kritas (PCT) ;Mindray BC-6000, Celltac NIHON KOHDEN;PCT
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Neutrofilai (NEUT%) ;Mindray BC-6000, Celltac NIHON KOHDEN;NEUT%
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Limfocitai (LYMPH%) ;Mindray BC-6000, Celltac NIHON KOHDEN;LYMPH%
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Monocitai (MONO%) ;Mindray BC-6000, Celltac NIHON KOHDEN;MONO%
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Eozinofilai (EOS%) ;Mindray BC-6000, Celltac NIHON KOHDEN;EOS%
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Bazofilai (BASO%) ;Mindray BC-6000, Celltac NIHON KOHDEN;BASO%
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Neutrofilai (NEUT#);Mindray BC-6000, Celltac NIHON KOHDEN;NEUT#
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Limfocitai (LYMPH#);Mindray BC-6000, Celltac NIHON KOHDEN;LYMPH#
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Monocitai (MONO#);Mindray BC-6000, Celltac NIHON KOHDEN;MONO#
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Eozinofilai (EOS#);Mindray BC-6000, Celltac NIHON KOHDEN;EOS#
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Bazofilai (BASO#);Mindray BC-6000, Celltac NIHON KOHDEN;BASO#
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Branduolėti eritrocitai (NRBC#);Mindray BC-6000, Celltac NIHON KOHDEN;NRBC#
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Branduolėti eritrocitai (NRBC%);Mindray BC-6000, Celltac NIHON KOHDEN;NRBC%
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Didelių trombocitų frakcija (P-LCR);Mindray BC-6000, Celltac NIHON KOHDEN;P-LCR
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Nesubrendę granulocitai (IG#);Mindray BC-6000, Celltac NIHON KOHDEN;IG#
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Nesubrendę granulocitai (IG%);Mindray BC-6000, Celltac NIHON KOHDEN;IG%
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Eritrocitų pasiskirstymo plotis (RDW-SD);Mindray BC-6000, Celltac NIHON KOHDEN;RDW-SD
16048;;Šlapimo tyrimas automatizuotu būdu;Biomaxima;
16048;;Šlapimo tyrimas automatizuotu būdu: Reakcija (pH) (šlapimo tyrimas) ;Biomaxima;pH
16048;;Šlapimo tyrimas automatizuotu būdu: Leukocitai (LEU) (šlapimo tyrimas) ;Biomaxima;LEU
16048;;Šlapimo tyrimas automatizuotu būdu: Bakterijos (NIT) (šlapimo tyrimas) ;Biomaxima;NIT
16048;;Šlapimo tyrimas automatizuotu būdu: Baltymas (PRO) (šlapimo tyrimas) ;Biomaxima;PRO
16048;;Šlapimo tyrimas automatizuotu būdu: Gliukozė (GLU) (šlapimo tyrimas) ;Biomaxima;GLU
16048;;Šlapimo tyrimas automatizuotu būdu: Ketonai (KET) (šlapimo tyrimas) ;Biomaxima;KET
16048;;Šlapimo tyrimas automatizuotu būdu: Urobilinogenas (UBG) (šlapimo tyrimas) ;Biomaxima;UBG
16048;;Šlapimo tyrimas automatizuotu būdu: Tulžies pigmentas (BIL) (šlapimo tyrimas) ;Biomaxima;BIL
16048;;Šlapimo tyrimas automatizuotu būdu: Eritrocitai (ERY) (šlapimo tyrimas) ;Biomaxima;BLD
16048;;Šlapimo tyrimas automatizuotu būdu: A : K santykis (A:C) (šlapimo tyrimas) ;Biomaxima;A:C
16048;;Šlapimo tyrimas automatizuotu būdu: Kreatininas (CRE) (šlapimo tyrimas) ;Biomaxima;CRE
16048;;Šlapimo tyrimas automatizuotu būdu: Lyg.tankis (SG) (šlapimo tyrimas) ;Biomaxima;SG
